date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:33:13	598/598	---M--	403	error ('Forbidden')	text/html	date:Sun,%2031%20May%202026%2009:33:12%20GMT	https://timesofindia.indiatimes.com/city/pune/2761-complaints-pending-before-maharashtra-womens-commission-govt-yet-to-appoint-chairperson-six-members-rti-reply/articleshow/POST	C:/My%20Web%20Sites/2,761%20complaints%20pending%20before%20Maharashtra%20women's%20commission,%20govt%20yet%20to%20appoint%20chairperson%20and%20six%20members_%20RTI%20reply/timesofindia.indiatimes.com/city/pune/2761-complaints-pending-before-maharashtra-wo/POST.d.delaye	(from https://timesofindia.indiatimes.com/city/pune/2761-complaints-pending-before-maharashtra-womens-commission-govt-yet-to-appoint-chairperson-six-members-rti-reply/articleshow/131251513.cms)
17:33:13	604/604	---M--	403	error ('Forbidden')	text/html	date:Sun,%2031%20May%202026%2009:33:13%20GMT	https://timesofindia.indiatimes.com/city/pune/2761-complaints-pending-before-maharashtra-womens-commission-govt-yet-to-appoint-chairperson-six-members-rti-reply/articleshow/gpt.js	C:/My%20Web%20Sites/2,761%20complaints%20pending%20before%20Maharashtra%20women's%20commission,%20govt%20yet%20to%20appoint%20chairperson%20and%20six%20members_%20RTI%20reply/timesofindia.indiatimes.com/city/pune/2761-complaints-pending-before-maharashtra-wom/gpt.f.delaye	(from https://timesofindia.indiatimes.com/city/pune/2761-complaints-pending-before-maharashtra-womens-commission-govt-yet-to-appoint-chairperson-six-members-rti-reply/articleshow/131251513.cms)
17:33:16	59621/59621	---M-Z	200	added ('OK')	application/javascript	etag:%22e8e5-64bb88049d48d-gzip%22	https://static.clmbtech.com/ad/commons/js/2658/toi/colombia_v2.js	C:/My%20Web%20Sites/2,761%20complaints%20pending%20before%20Maharashtra%20women's%20commission,%20govt%20yet%20to%20appoint%20chairperson%20and%20six%20members_%20RTI%20reply/static.clmbtech.com/ad/commons/js/2658/toi/colombia_v2.js	(from https://timesofindia.indiatimes.com/city/pune/2761-complaints-pending-before-maharashtra-womens-commission-govt-yet-to-appoint-chairperson-six-members-rti-reply/articleshow/131251513.cms)
17:33:18	109823/109823	---M-Z	200	added ('OK')	application/javascript	etag:%22f7ffbdfc0a10ada8346e4e8c2b946930%22	https://assets.toiimg.com/assets/bootstrap-modern_es6_module.8703a171.js	C:/My%20Web%20Sites/2,761%20complaints%20pending%20before%20Maharashtra%20women's%20commission,%20govt%20yet%20to%20appoint%20chairperson%20and%20six%20members_%20RTI%20reply/assets.toiimg.com/assets/bootstrap-modern_es6_module.8703a171.js	(from https://timesofindia.indiatimes.com/city/pune/2761-complaints-pending-before-maharashtra-womens-commission-govt-yet-to-appoint-chairperson-six-members-rti-reply/articleshow/131251513.cms)
17:33:18	61028/61028	---M--	200	added ('OK')	text/javascript	etag:W/%22ee64-j0i2RJiC+yi6ZyV6vRYEGWhNAzo%22	http://delivery.adrecover.com/39799/adRecover.js?ts=1570619213772	C:/My%20Web%20Sites/2,761%20complaints%20pending%20before%20Maharashtra%20women's%20commission,%20govt%20yet%20to%20appoint%20chairperson%20and%20six%20members_%20RTI%20reply/delivery.adrecover.com/39799/adRecover8c25.js	(from https://timesofindia.indiatimes.com/city/pune/2761-complaints-pending-before-maharashtra-womens-commission-govt-yet-to-appoint-chairperson-six-members-rti-reply/articleshow/131251513.cms)
17:33:19	147911/147911	---M-Z	200	added ('OK')	application/javascript	etag:%2215894f49b323671f2e2c6540ced5aa34%22	https://assets.toiimg.com/assets/10610_es6_module.aa01945e.js	C:/My%20Web%20Sites/2,761%20complaints%20pending%20before%20Maharashtra%20women's%20commission,%20govt%20yet%20to%20appoint%20chairperson%20and%20six%20members_%20RTI%20reply/assets.toiimg.com/assets/10610_es6_module.aa01945e.js	(from https://timesofindia.indiatimes.com/city/pune/2761-complaints-pending-before-maharashtra-womens-commission-govt-yet-to-appoint-chairperson-six-members-rti-reply/articleshow/131251513.cms)
17:33:19	128171/128171	---M-Z	200	added ('OK')	application/javascript	etag:%22f12f77e0a06b3c1f949c576702885b09%22	https://assets.toiimg.com/assets/15098_es6_module.904b9c13.js	C:/My%20Web%20Sites/2,761%20complaints%20pending%20before%20Maharashtra%20women's%20commission,%20govt%20yet%20to%20appoint%20chairperson%20and%20six%20members_%20RTI%20reply/assets.toiimg.com/assets/15098_es6_module.904b9c13.js	(from https://timesofindia.indiatimes.com/city/pune/2761-complaints-pending-before-maharashtra-womens-commission-govt-yet-to-appoint-chairperson-six-members-rti-reply/articleshow/131251513.cms)
17:33:19	356274/356274	---M-Z	200	added ('OK')	application/javascript	etag:%22f738d438571d1b4acbf214002eb8e448%22	https://assets.toiimg.com/assets/client_es6_module.9c7586bb.js	C:/My%20Web%20Sites/2,761%20complaints%20pending%20before%20Maharashtra%20women's%20commission,%20govt%20yet%20to%20appoint%20chairperson%20and%20six%20members_%20RTI%20reply/assets.toiimg.com/assets/client_es6_module.9c7586bb.js	(from https://timesofindia.indiatimes.com/city/pune/2761-complaints-pending-before-maharashtra-womens-commission-govt-yet-to-appoint-chairperson-six-members-rti-reply/articleshow/131251513.cms)
17:33:19	74851/74851	---M-Z	200	added ('OK')	application/javascript	etag:%22f111bcb58ab3bc92d0eb19b4b393fe7d%22	https://assets.toiimg.com/assets/articleshow_v2_desktop_es6_module.b0335db3.chunk.js	C:/My%20Web%20Sites/2,761%20complaints%20pending%20before%20Maharashtra%20women's%20commission,%20govt%20yet%20to%20appoint%20chairperson%20and%20six%20members_%20RTI%20reply/assets.toiimg.com/assets/articleshow_v2_desktop_es6_module.b0335db3.chunk.js	(from https://timesofindia.indiatimes.com/city/pune/2761-complaints-pending-before-maharashtra-womens-commission-govt-yet-to-appoint-chairperson-six-members-rti-reply/articleshow/131251513.cms)
17:33:19	151776/151776	---M-Z	200	added ('OK')	text/css	etag:%2216d148ad86b18a5a3b2d99ee383030f9%22	https://assets.toiimg.com/assets/74151.2f4b4757.chunk.css	C:/My%20Web%20Sites/2,761%20complaints%20pending%20before%20Maharashtra%20women's%20commission,%20govt%20yet%20to%20appoint%20chairperson%20and%20six%20members_%20RTI%20reply/assets.toiimg.com/assets/74151.2f4b4757.chunk.css	(from https://timesofindia.indiatimes.com/city/pune/2761-complaints-pending-before-maharashtra-womens-commission-govt-yet-to-appoint-chairperson-six-members-rti-reply/articleshow/131251513.cms)
17:33:20	128084/128084	---M-Z	200	added ('OK')	text/css	etag:%2236dd32a45e4a7973c4caf0b9db0cdca0%22	https://assets.toiimg.com/assets/articleshow_v2_desktop.393790d0.chunk.css	C:/My%20Web%20Sites/2,761%20complaints%20pending%20before%20Maharashtra%20women's%20commission,%20govt%20yet%20to%20appoint%20chairperson%20and%20six%20members_%20RTI%20reply/assets.toiimg.com/assets/articleshow_v2_desktop.393790d0.chunk.css	(from https://timesofindia.indiatimes.com/city/pune/2761-complaints-pending-before-maharashtra-womens-commission-govt-yet-to-appoint-chairperson-six-members-rti-reply/articleshow/131251513.cms)
17:33:20	85626/85626	---M-Z	200	added ('OK')	text/css	etag:%226fa923155dffcd0817fd416f7942bd32%22	https://assets.toiimg.com/assets/6260.e4adbd5c.chunk.css	C:/My%20Web%20Sites/2,761%20complaints%20pending%20before%20Maharashtra%20women's%20commission,%20govt%20yet%20to%20appoint%20chairperson%20and%20six%20members_%20RTI%20reply/assets.toiimg.com/assets/6260.e4adbd5c.chunk.css	(from https://timesofindia.indiatimes.com/city/pune/2761-complaints-pending-before-maharashtra-womens-commission-govt-yet-to-appoint-chairperson-six-members-rti-reply/articleshow/131251513.cms)
17:33:20	82006/82006	---M-Z	200	added ('OK')	text/css	etag:%22d750606d8e32518cfe23fb79c3b3aaf4%22	https://assets.toiimg.com/assets/41522.f4f93d4f.chunk.css	C:/My%20Web%20Sites/2,761%20complaints%20pending%20before%20Maharashtra%20women's%20commission,%20govt%20yet%20to%20appoint%20chairperson%20and%20six%20members_%20RTI%20reply/assets.toiimg.com/assets/41522.f4f93d4f.chunk.css	(from https://timesofindia.indiatimes.com/city/pune/2761-complaints-pending-before-maharashtra-womens-commission-govt-yet-to-appoint-chairperson-six-members-rti-reply/articleshow/131251513.cms)
17:33:20	73518/73518	---M-Z	200	added ('OK')	text/css	etag:%22942f35dd5701d6ce069d174de78299d5%22	https://assets.toiimg.com/assets/88393.ce9fee03.chunk.css	C:/My%20Web%20Sites/2,761%20complaints%20pending%20before%20Maharashtra%20women's%20commission,%20govt%20yet%20to%20appoint%20chairperson%20and%20six%20members_%20RTI%20reply/assets.toiimg.com/assets/88393.ce9fee03.chunk.css	(from https://timesofindia.indiatimes.com/city/pune/2761-complaints-pending-before-maharashtra-womens-commission-govt-yet-to-appoint-chairperson-six-members-rti-reply/articleshow/131251513.cms)
17:33:20	93222/93222	---M-Z	200	added ('OK')	text/css	etag:%2250d1857bc8a0f793df528267bf7ec2b6%22	https://assets.toiimg.com/assets/15406.d2d9f2fd.chunk.css	C:/My%20Web%20Sites/2,761%20complaints%20pending%20before%20Maharashtra%20women's%20commission,%20govt%20yet%20to%20appoint%20chairperson%20and%20six%20members_%20RTI%20reply/assets.toiimg.com/assets/15406.d2d9f2fd.chunk.css	(from https://timesofindia.indiatimes.com/city/pune/2761-complaints-pending-before-maharashtra-womens-commission-govt-yet-to-appoint-chairperson-six-members-rti-reply/articleshow/131251513.cms)
17:33:21	100913/100913	---M-Z	200	added ('OK')	text/css	etag:%2224f2757fa6869c01b8018bac1451fd32%22	https://assets.toiimg.com/assets/55016.41bf4c6d.chunk.css	C:/My%20Web%20Sites/2,761%20complaints%20pending%20before%20Maharashtra%20women's%20commission,%20govt%20yet%20to%20appoint%20chairperson%20and%20six%20members_%20RTI%20reply/assets.toiimg.com/assets/55016.41bf4c6d.chunk.css	(from https://timesofindia.indiatimes.com/city/pune/2761-complaints-pending-before-maharashtra-womens-commission-govt-yet-to-appoint-chairperson-six-members-rti-reply/articleshow/131251513.cms)
17:33:21	93269/93269	---M-Z	200	added ('OK')	text/css	etag:%225e5a89aa1e0e60256a5f110767c85cc2%22	https://assets.toiimg.com/assets/8647.8dcc8175.chunk.css	C:/My%20Web%20Sites/2,761%20complaints%20pending%20before%20Maharashtra%20women's%20commission,%20govt%20yet%20to%20appoint%20chairperson%20and%20six%20members_%20RTI%20reply/assets.toiimg.com/assets/8647.8dcc8175.chunk.css	(from https://timesofindia.indiatimes.com/city/pune/2761-complaints-pending-before-maharashtra-womens-commission-govt-yet-to-appoint-chairperson-six-members-rti-reply/articleshow/131251513.cms)
